iter	RMSE
0	0.9096809921
1	0.869069561
2	0.8310993123
3	0.7943861862
4	0.7604441676
5	0.7269987578
6	0.6964232681
7	0.6668197621
8	0.6387851108
9	0.611671238
10	0.5859839303
11	0.5620011532
12	0.5389170176
13	0.5184322438
14	0.4978278184
15	0.4790289609
16	0.4610285405
17	0.4439999647
18	0.4275937964
19	0.4122423755
20	0.3981675456
21	0.3844998591
22	0.3714754954
23	0.3590848185
24	0.347476669
25	0.33658715
26	0.3271636055
27	0.3175090847
28	0.3086560899
29	0.2999573284
30	0.2924443597
31	0.2849223299
32	0.2778805418
33	0.2715503468
34	0.2651978486
35	0.2596267209
36	0.2540760703
37	0.2490965838
